# label y x countrate
A 575.0000 981.0000 189235.0000
B 667.0000 820.0000 290067.0000
C 669.0000 1141.0000 221739.0000
D 759.0000 659.0000 262802.0000
E 761.0000 980.0000 238037.0000
F 762.0000 1300.0000 328285.0000
G 853.0000 822.0000 155340.0000
H 854.0000 1141.0000 287786.0000
I 945.0000 655.0000 116070.0000
J 948.0000 1300.0000 236881.0000
K 1038.0000 818.0000 307742.0000
L 1040.0000 1140.0000 319426.0000
M 1130.0000 658.0000 164720.0000
N 1132.0000 978.0000 286780.0000
O 1133.0000 1300.0000 17992.0000
P 1224.0000 818.0000 100832.0000
Q 1225.0000 1138.0000 178928.0000
R 1317.0000 976.0000 244266.0000
